manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,unknown,20.0,Black,Charlotte,NC,TRUE,other,Not fleeing,FALSE,Unknown,F
shot,unarmed,31.0,Hispanic,Euless,TX,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,38.0,Black,Homewood,AL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,77.0,Black,Birmingham,AL,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,37.1179309,Hispanic,Houston,TX,FALSE,attack,Car,FALSE,Guns,M
shot,gun,41.0,White,Ruidoso,NM,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,51.0,White,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,50.0,White,Palm Bay,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,47.0,White,Denham Springs,LA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,knife,37.0,White,Powder Springs,GA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,41.0,White,Clarkesville,GA,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,16.0,Black,Millbrook,AL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,knife,42.0,White,Allentown,PA,FALSE,attack,Car,FALSE,Sharp objects,M
shot and Tasered,unarmed,39.0,White,Omaha,NE,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot and Tasered,knife,30.0,White,Green Bay,WI,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,unknown,27.0,Black,Oklahoma City,OK,FALSE,other,Car,FALSE,Unknown,M
shot,gun,43.0,White,Las Vegas,NV,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,42.0,Hispanic,Lakeland,FL,FALSE,attack,Foot,FALSE,Guns,M
shot,knife,21.0,Hispanic,San Francisco,CA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,49.0,White,Gulfport,MS,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,34.0,White,Sylvester,GA,FALSE,attack,Car,FALSE,Guns,F
shot and Tasered,unarmed,31.0,White,Terre Haute,IN,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,unarmed,27.0,Hispanic,Santa Ana,CA,FALSE,undetermined,Not fleeing,FALSE,Unarmed,M
shot,gun,24.0,White,Pelzer,SC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,34.0,Black,St Louis,MO,FALSE,other,Car,FALSE,Unarmed,M
shot,knife,28.0,Hispanic,Tucson,AZ,FALSE,other,Not fleeing,FALSE,Sharp objects,F
shot,gun,28.0,Black,Columbia,MO,FALSE,attack,Car,FALSE,Guns,M
shot,gun,40.0,Black,Tarboro,NC,TRUE,attack,Car,FALSE,Guns,M
shot,gun,37.0,White,La Paz County,AZ,FALSE,attack,Car,FALSE,Guns,F
shot and Tasered,unarmed,17.0,White,Roxand Township,MI,FALSE,attack,Not fleeing,TRUE,Unarmed,M
shot,gun,35.0,Asian,Houston,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,49.0,White,Barton,MS,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,unarmed,43.0,Black,Los Angeles,CA,TRUE,attack,Not fleeing,TRUE,Unarmed,M
shot,gun,20.0,Black,Joilet,IL,FALSE,other,Foot,FALSE,Guns,M
shot,gun,25.0,Black,Salisbury,MD,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,25.0,White,Tempe,AZ,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,26.0,White,Deltona,FL,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,28.0,Asian,Stockton,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,45.0,Black,Milwaukee,WI,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,36.0,Hispanic,Burbank,CA,FALSE,other,Car,FALSE,Unarmed,M
shot,gun,34.0,White,Lincoln,NE,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,19.0,Black,Madison,WI,FALSE,attack,Foot,FALSE,Unarmed,M
shot,unarmed,37.0,Black,Aurora,CO,FALSE,undetermined,Foot,FALSE,Unarmed,M
shot,unknown,48.0,Black,Putnam Hall,FL,FALSE,other,Not fleeing,FALSE,Unknown,M
shot,gun,29.0,White,Phoenix,AZ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,43.0,Black,Anaheim,CA,TRUE,other,Not fleeing,TRUE,Sharp objects,F
shot,gun,40.0,Hispanic,Oklahoma City,OK,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,35.0,White,Claymont,DE,FALSE,attack,Car,FALSE,Unknown,M
shot,unarmed,27.0,Black,Atlanta,GA,TRUE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,58.0,White,Brevard,NC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,46.0,White,Dinosaur,CO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,30.0,Black,Cocoa,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,64.0,Black,Cleveland,OH,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,31.0,Black,Baton Rouge,LA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,23.0,White,Port Wentworth,GA,FALSE,attack,Not fleeing,TRUE,Sharp objects,M
shot,sword,37.0,Hispanic,Ontario,CA,TRUE,other,Car,FALSE,Sharp objects,M
shot,unknown,37.0,Black,Elkton,MD,FALSE,other,Not fleeing,FALSE,Unknown,M
shot,gun,31.0,White,Memphis,TN,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,39.0,Hispanic,Santa Ana,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,31.0,White,Kingman,AZ,TRUE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,gun,54.0,White,Bay Minette,AL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,53.0,White,Hoover,AL,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,25.0,Hispanic,Los Angeles,CA,FALSE,other,Not fleeing,FALSE,Unknown,M
shot,unarmed,35.0,Black,Washington,DC,TRUE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,41.0,Hispanic,Napa,CA,FALSE,other,Other,FALSE,Guns,M
shot,gun,59.0,White,Kansas City,MO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,36.0,White,Fontana,CA,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,32.0,Hispanic,Walnut Creek,CA,FALSE,other,Foot,FALSE,Unarmed,M
shot,knife,53.0,White,Follansbee,WV,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,26.0,White,Kenosha,WI,FALSE,attack,Car,FALSE,Guns,M
shot,gun,29.0,Hispanic,San Antonio,TX,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,machete,27.0,White,Ruth,MS,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,28.0,White,St. Paul,MN,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,52.0,White,Gastonia,NC,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,49.0,White,Medford,OR,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,24.0,White,Dublin,NC,FALSE,attack,Foot,FALSE,Guns,M
shot,unknown,24.0,White,San Francisco,CA,TRUE,other,Not fleeing,FALSE,Unknown,F
shot,gun,20.0,White,Onalaska,TX,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,22.0,Hispanic,Sacramento,CA,FALSE,undetermined,Car,FALSE,Unarmed,M
shot,gun,49.0,White,Glendale,AZ,FALSE,attack,Not fleeing,FALSE,Guns,F
shot,gun,64.0,White,Tallahassee,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,47.0,White,Bakersfield,CA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,box cutter,39.0,White,Lawrence County,AL,TRUE,other,Not fleeing,TRUE,Sharp objects,M
shot,unarmed,18.0,Black,Cleveland,OH,FALSE,attack,Not fleeing,FALSE,Unarmed,M
shot,gun,31.0,White,Middleton,ID,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,16.0,Black,Jacksonville,FL,FALSE,attack,Car,FALSE,Guns,M
shot,unarmed,20.0,White,Sumas,WA,TRUE,attack,Not fleeing,FALSE,Unarmed,M
